run_type,algorithm,subset_id,subset_clients,graph_id,dataset_id,num_clients,client_fraction,out_csv,ckpt_path,rounds,local_epochs,selection_metric,mcw,num_layers,lr,weight_decay,dropout,hidden_dim,use_ego_ids,batch_size,seed,model_tag
local,local,,510|859,510,data_2000_5_5.5_chordal,1,1.0,andrea/runs/data_2000_5_5.5_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.csv,andrea/runs/data_2000_5_5.5_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,0,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64
local,local,,510|859,859,data_2000_4_1.5_chordal,1,1.0,andrea/runs/data_2000_4_1.5_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.csv,andrea/runs/data_2000_4_1.5_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,0,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64
fedavg,fedavg,510|859,510|859,all,data_2000_5_5.5_chordal|data_2000_4_1.5_chordal,2,1.0,andrea/runs/fedavg510|859_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.csv,andrea/runs/fedavg510|859_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,0,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64
local,local,,410|859,410,data_2000_5_8.5_chordal,1,1.0,andrea/runs/data_2000_5_8.5_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.csv,andrea/runs/data_2000_5_8.5_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,0,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64
local,local,,410|859,859,data_2000_4_1.5_chordal,1,1.0,andrea/runs/data_2000_4_1.5_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.csv,andrea/runs/data_2000_4_1.5_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,0,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64
fedavg,fedavg,410|859,410|859,all,data_2000_5_8.5_chordal|data_2000_4_1.5_chordal,2,1.0,andrea/runs/fedavg410|859_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.csv,andrea/runs/fedavg410|859_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,0,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64
local,local,,504|859,504,data_2000_3_11_chordal,1,1.0,andrea/runs/data_2000_3_11_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.csv,andrea/runs/data_2000_3_11_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,0,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64
local,local,,504|859,859,data_2000_4_1.5_chordal,1,1.0,andrea/runs/data_2000_4_1.5_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.csv,andrea/runs/data_2000_4_1.5_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,0,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64
fedavg,fedavg,504|859,504|859,all,data_2000_3_11_chordal|data_2000_4_1.5_chordal,2,1.0,andrea/runs/fedavg504|859_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.csv,andrea/runs/fedavg504|859_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,0,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64
local,local,,32|859,32,data_2000_3_11.5_chordal,1,1.0,andrea/runs/data_2000_3_11.5_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.csv,andrea/runs/data_2000_3_11.5_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,0,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64
local,local,,32|859,859,data_2000_4_1.5_chordal,1,1.0,andrea/runs/data_2000_4_1.5_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.csv,andrea/runs/data_2000_4_1.5_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,0,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64
fedavg,fedavg,32|859,32|859,all,data_2000_3_11.5_chordal|data_2000_4_1.5_chordal,2,1.0,andrea/runs/fedavg32|859_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.csv,andrea/runs/fedavg32|859_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,0,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64
local,local,,434|504,434,data_4000_5_2.0_chordal,1,1.0,andrea/runs/data_4000_5_2.0_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.csv,andrea/runs/data_4000_5_2.0_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,0,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64
local,local,,434|504,504,data_2000_3_11_chordal,1,1.0,andrea/runs/data_2000_3_11_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.csv,andrea/runs/data_2000_3_11_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,0,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64
fedavg,fedavg,434|504,434|504,all,data_4000_5_2.0_chordal|data_2000_3_11_chordal,2,1.0,andrea/runs/fedavg434|504_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.csv,andrea/runs/fedavg434|504_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,0,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64
local,local,,32|434,32,data_2000_3_11.5_chordal,1,1.0,andrea/runs/data_2000_3_11.5_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.csv,andrea/runs/data_2000_3_11.5_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,0,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64
local,local,,32|434,434,data_4000_5_2.0_chordal,1,1.0,andrea/runs/data_4000_5_2.0_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.csv,andrea/runs/data_4000_5_2.0_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,0,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64
fedavg,fedavg,32|434,32|434,all,data_2000_3_11.5_chordal|data_4000_5_2.0_chordal,2,1.0,andrea/runs/fedavg32|434_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.csv,andrea/runs/fedavg32|434_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,0,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64
local,local,,49|374,49,data_2000_3_6.5_chordal,1,1.0,andrea/runs/data_2000_3_6.5_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.csv,andrea/runs/data_2000_3_6.5_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,0,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64
local,local,,49|374,374,data_2000_3_7.0_chordal,1,1.0,andrea/runs/data_2000_3_7.0_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.csv,andrea/runs/data_2000_3_7.0_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,0,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64
fedavg,fedavg,49|374,49|374,all,data_2000_3_6.5_chordal|data_2000_3_7.0_chordal,2,1.0,andrea/runs/fedavg49|374_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.csv,andrea/runs/fedavg49|374_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,0,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64
local,local,,135|339,135,data_4000_3_10.5_chordal,1,1.0,andrea/runs/data_4000_3_10.5_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.csv,andrea/runs/data_4000_3_10.5_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,0,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64
local,local,,135|339,339,data_4000_3_8.0_chordal,1,1.0,andrea/runs/data_4000_3_8.0_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.csv,andrea/runs/data_4000_3_8.0_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,0,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64
fedavg,fedavg,135|339,135|339,all,data_4000_3_10.5_chordal|data_4000_3_8.0_chordal,2,1.0,andrea/runs/fedavg135|339_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.csv,andrea/runs/fedavg135|339_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,0,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64
local,local,,98|632,98,data_4000_4_10_chordal,1,1.0,andrea/runs/data_4000_4_10_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.csv,andrea/runs/data_4000_4_10_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,0,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64
local,local,,98|632,632,data_4000_4_11_chordal,1,1.0,andrea/runs/data_4000_4_11_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.csv,andrea/runs/data_4000_4_11_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,0,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64
fedavg,fedavg,98|632,98|632,all,data_4000_4_10_chordal|data_4000_4_11_chordal,2,1.0,andrea/runs/fedavg98|632_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.csv,andrea/runs/fedavg98|632_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,0,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64
local,local,,482|568,482,data_4000_3_10_chordal,1,1.0,andrea/runs/data_4000_3_10_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.csv,andrea/runs/data_4000_3_10_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,0,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64
local,local,,482|568,568,data_4000_3_9.5_chordal,1,1.0,andrea/runs/data_4000_3_9.5_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.csv,andrea/runs/data_4000_3_9.5_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,0,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64
fedavg,fedavg,482|568,482|568,all,data_4000_3_10_chordal|data_4000_3_9.5_chordal,2,1.0,andrea/runs/fedavg482|568_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.csv,andrea/runs/fedavg482|568_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,0,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64
local,local,,183|300,183,data_4000_4_9.5_chordal,1,1.0,andrea/runs/data_4000_4_9.5_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.csv,andrea/runs/data_4000_4_9.5_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,0,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64
local,local,,183|300,300,data_4000_4_9_chordal,1,1.0,andrea/runs/data_4000_4_9_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.csv,andrea/runs/data_4000_4_9_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,0,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64
fedavg,fedavg,183|300,183|300,all,data_4000_4_9.5_chordal|data_4000_4_9_chordal,2,1.0,andrea/runs/fedavg183|300_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.csv,andrea/runs/fedavg183|300_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,0,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64
local,local,,339|568,339,data_4000_3_8.0_chordal,1,1.0,andrea/runs/data_4000_3_8.0_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.csv,andrea/runs/data_4000_3_8.0_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,0,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64
local,local,,339|568,568,data_4000_3_9.5_chordal,1,1.0,andrea/runs/data_4000_3_9.5_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.csv,andrea/runs/data_4000_3_9.5_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,0,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64
fedavg,fedavg,339|568,339|568,all,data_4000_3_8.0_chordal|data_4000_3_9.5_chordal,2,1.0,andrea/runs/fedavg339|568_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.csv,andrea/runs/fedavg339|568_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,0,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64
local,local,,341|859,341,data_2000_5_5.0_chordal,1,1.0,andrea/runs/data_2000_5_5.0_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.csv,andrea/runs/data_2000_5_5.0_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,0,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64
local,local,,341|859,859,data_2000_4_1.5_chordal,1,1.0,andrea/runs/data_2000_4_1.5_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.csv,andrea/runs/data_2000_4_1.5_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,0,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64
fedavg,fedavg,341|859,341|859,all,data_2000_5_5.0_chordal|data_2000_4_1.5_chordal,2,1.0,andrea/runs/fedavg341|859_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.csv,andrea/runs/fedavg341|859_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,0,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64
local,local,,415|859,415,data_2000_5_4.5_chordal,1,1.0,andrea/runs/data_2000_5_4.5_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.csv,andrea/runs/data_2000_5_4.5_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,0,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64
local,local,,415|859,859,data_2000_4_1.5_chordal,1,1.0,andrea/runs/data_2000_4_1.5_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.csv,andrea/runs/data_2000_4_1.5_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,0,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64
fedavg,fedavg,415|859,415|859,all,data_2000_5_4.5_chordal|data_2000_4_1.5_chordal,2,1.0,andrea/runs/fedavg415|859_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.csv,andrea/runs/fedavg415|859_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,0,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64
local,local,,510|859,510,data_2000_5_5.5_chordal,1,1.0,andrea/runs/data_2000_5_5.5_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed1.csv,andrea/runs/data_2000_5_5.5_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed1.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,1,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64
local,local,,510|859,859,data_2000_4_1.5_chordal,1,1.0,andrea/runs/data_2000_4_1.5_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed1.csv,andrea/runs/data_2000_4_1.5_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed1.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,1,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64
fedavg,fedavg,510|859,510|859,all,data_2000_5_5.5_chordal|data_2000_4_1.5_chordal,2,1.0,andrea/runs/fedavg510|859_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed1.csv,andrea/runs/fedavg510|859_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed1.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,1,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64
local,local,,410|859,410,data_2000_5_8.5_chordal,1,1.0,andrea/runs/data_2000_5_8.5_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed1.csv,andrea/runs/data_2000_5_8.5_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed1.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,1,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64
local,local,,410|859,859,data_2000_4_1.5_chordal,1,1.0,andrea/runs/data_2000_4_1.5_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed1.csv,andrea/runs/data_2000_4_1.5_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed1.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,1,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64
fedavg,fedavg,410|859,410|859,all,data_2000_5_8.5_chordal|data_2000_4_1.5_chordal,2,1.0,andrea/runs/fedavg410|859_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed1.csv,andrea/runs/fedavg410|859_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed1.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,1,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64
local,local,,504|859,504,data_2000_3_11_chordal,1,1.0,andrea/runs/data_2000_3_11_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed1.csv,andrea/runs/data_2000_3_11_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed1.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,1,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64
local,local,,504|859,859,data_2000_4_1.5_chordal,1,1.0,andrea/runs/data_2000_4_1.5_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed1.csv,andrea/runs/data_2000_4_1.5_chordal_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed1.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,1,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64
fedavg,fedavg,504|859,504|859,all,data_2000_3_11_chordal|data_2000_4_1.5_chordal,2,1.0,andrea/runs/fedavg504|859_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed1.csv,andrea/runs/fedavg504|859_rounds80_epoch1_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed1.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,1,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64
