run_type,algorithm,subset_id,subset_clients,graph_id,dataset_id,num_clients,client_fraction,out_csv,ckpt_path,rounds,local_epochs,selection_metric,mcw,num_layers,lr,weight_decay,dropout,hidden_dim,use_ego_ids,batch_size,seed,model_tag,gamma,mask_fraction,designed_heterogeneity,task_profile_jsd_mean,controlled_benchmark,fedprox_mu,clusters_csv_path,warmup_rounds,min_cluster_size,min_child_size,grad_seq_len,eps1_quantile,eps2_quantile,family
fedprox,fedprox,1000005|1000006|1000007|1000008|1000009,1000005|1000006|1000007|1000008|1000009,all,data_3800_4_3.0_chordal_rep03_mask50_cycle2|data_3800_4_3.0_chordal_rep03_mask50_cycle3|data_3800_4_3.0_chordal_rep03_mask50_cycle4|data_3800_4_3.0_chordal_rep03_mask50_cycle5|data_3800_4_3.0_chordal_rep03_mask50_cycle6,5,1.0,andrea/runs/fedprox1000005|1000006|1000007|1000008|1000009_rounds80_epoch1_mu0.01_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.csv,andrea/checkpoints/fedprox1000005|1000006|1000007|1000008|1000009_rounds80_epoch1_mu0.01_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,0,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64,0.5,0.5,0.5,0.0188723794190836,task_positive_label_masking,0.01,,,,,,,,
fedprox,fedprox,1000010|1000011|1000012|1000013|1000014,1000010|1000011|1000012|1000013|1000014,all,data_3800_4_3.0_chordal_rep03_mask80_cycle2|data_3800_4_3.0_chordal_rep03_mask80_cycle3|data_3800_4_3.0_chordal_rep03_mask80_cycle4|data_3800_4_3.0_chordal_rep03_mask80_cycle5|data_3800_4_3.0_chordal_rep03_mask80_cycle6,5,1.0,andrea/runs/fedprox1000010|1000011|1000012|1000013|1000014_rounds80_epoch1_mu0.01_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.csv,andrea/checkpoints/fedprox1000010|1000011|1000012|1000013|1000014_rounds80_epoch1_mu0.01_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,0,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64,0.8,0.8,0.8,0.069303960140568,task_positive_label_masking,0.01,,,,,,,,
fedprox,fedprox,1000000|1000001|1000002|1000003|1000004,1000000|1000001|1000002|1000003|1000004,all,data_3800_4_3.0_chordal_rep03_mask20_cycle2|data_3800_4_3.0_chordal_rep03_mask20_cycle3|data_3800_4_3.0_chordal_rep03_mask20_cycle4|data_3800_4_3.0_chordal_rep03_mask20_cycle5|data_3800_4_3.0_chordal_rep03_mask20_cycle6,5,1.0,andrea/runs/fedprox1000000|1000001|1000002|1000003|1000004_rounds80_epoch1_mu0.01_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed1.csv,andrea/checkpoints/fedprox1000000|1000001|1000002|1000003|1000004_rounds80_epoch1_mu0.01_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed1.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,1,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64,0.2,0.2,0.2,0.002318666379198,task_positive_label_masking,0.01,,,,,,,,
fedprox,fedprox,1000005|1000006|1000007|1000008|1000009,1000005|1000006|1000007|1000008|1000009,all,data_3800_4_3.0_chordal_rep03_mask50_cycle2|data_3800_4_3.0_chordal_rep03_mask50_cycle3|data_3800_4_3.0_chordal_rep03_mask50_cycle4|data_3800_4_3.0_chordal_rep03_mask50_cycle5|data_3800_4_3.0_chordal_rep03_mask50_cycle6,5,1.0,andrea/runs/fedprox1000005|1000006|1000007|1000008|1000009_rounds80_epoch1_mu0.01_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed1.csv,andrea/checkpoints/fedprox1000005|1000006|1000007|1000008|1000009_rounds80_epoch1_mu0.01_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed1.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,1,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64,0.5,0.5,0.5,0.0188723794190836,task_positive_label_masking,0.01,,,,,,,,
fedprox,fedprox,1000010|1000011|1000012|1000013|1000014,1000010|1000011|1000012|1000013|1000014,all,data_3800_4_3.0_chordal_rep03_mask80_cycle2|data_3800_4_3.0_chordal_rep03_mask80_cycle3|data_3800_4_3.0_chordal_rep03_mask80_cycle4|data_3800_4_3.0_chordal_rep03_mask80_cycle5|data_3800_4_3.0_chordal_rep03_mask80_cycle6,5,1.0,andrea/runs/fedprox1000010|1000011|1000012|1000013|1000014_rounds80_epoch1_mu0.01_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed1.csv,andrea/checkpoints/fedprox1000010|1000011|1000012|1000013|1000014_rounds80_epoch1_mu0.01_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed1.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,1,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64,0.8,0.8,0.8,0.069303960140568,task_positive_label_masking,0.01,,,,,,,,
fedprox,fedprox,1000000|1000001|1000002|1000003|1000004,1000000|1000001|1000002|1000003|1000004,all,data_3800_4_3.0_chordal_rep03_mask20_cycle2|data_3800_4_3.0_chordal_rep03_mask20_cycle3|data_3800_4_3.0_chordal_rep03_mask20_cycle4|data_3800_4_3.0_chordal_rep03_mask20_cycle5|data_3800_4_3.0_chordal_rep03_mask20_cycle6,5,1.0,andrea/runs/fedprox1000000|1000001|1000002|1000003|1000004_rounds80_epoch1_mu0.01_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed2.csv,andrea/checkpoints/fedprox1000000|1000001|1000002|1000003|1000004_rounds80_epoch1_mu0.01_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed2.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,2,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64,0.2,0.2,0.2,0.002318666379198,task_positive_label_masking,0.01,,,,,,,,
fedprox,fedprox,1000005|1000006|1000007|1000008|1000009,1000005|1000006|1000007|1000008|1000009,all,data_3800_4_3.0_chordal_rep03_mask50_cycle2|data_3800_4_3.0_chordal_rep03_mask50_cycle3|data_3800_4_3.0_chordal_rep03_mask50_cycle4|data_3800_4_3.0_chordal_rep03_mask50_cycle5|data_3800_4_3.0_chordal_rep03_mask50_cycle6,5,1.0,andrea/runs/fedprox1000005|1000006|1000007|1000008|1000009_rounds80_epoch1_mu0.01_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed2.csv,andrea/checkpoints/fedprox1000005|1000006|1000007|1000008|1000009_rounds80_epoch1_mu0.01_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed2.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,2,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64,0.5,0.5,0.5,0.0188723794190836,task_positive_label_masking,0.01,,,,,,,,
fedprox,fedprox,1000010|1000011|1000012|1000013|1000014,1000010|1000011|1000012|1000013|1000014,all,data_3800_4_3.0_chordal_rep03_mask80_cycle2|data_3800_4_3.0_chordal_rep03_mask80_cycle3|data_3800_4_3.0_chordal_rep03_mask80_cycle4|data_3800_4_3.0_chordal_rep03_mask80_cycle5|data_3800_4_3.0_chordal_rep03_mask80_cycle6,5,1.0,andrea/runs/fedprox1000010|1000011|1000012|1000013|1000014_rounds80_epoch1_mu0.01_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed2.csv,andrea/checkpoints/fedprox1000010|1000011|1000012|1000013|1000014_rounds80_epoch1_mu0.01_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed2.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,2,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64,0.8,0.8,0.8,0.069303960140568,task_positive_label_masking,0.01,,,,,,,,
gcfl_plus,gcfl_plus,1000000|1000001|1000002|1000003|1000004,1000000|1000001|1000002|1000003|1000004,all,data_3800_4_3.0_chordal_rep03_mask20_cycle2|data_3800_4_3.0_chordal_rep03_mask20_cycle3|data_3800_4_3.0_chordal_rep03_mask20_cycle4|data_3800_4_3.0_chordal_rep03_mask20_cycle5|data_3800_4_3.0_chordal_rep03_mask20_cycle6,5,1.0,andrea/runs/gcflplus1000000|1000001|1000002|1000003|1000004_rounds80_epoch1_warm5_hist5_mcs2_mchild1_eps1q0.25_eps2q0.7_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.csv,andrea/checkpoints/gcflplus1000000|1000001|1000002|1000003|1000004_rounds80_epoch1_warm5_hist5_mcs2_mchild1_eps1q0.25_eps2q0.7_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,0,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64,0.2,0.2,0.2,0.002318666379198,task_positive_label_masking,,andrea/runs/gcflplus1000000|1000001|1000002|1000003|1000004_rounds80_epoch1_warm5_hist5_mcs2_mchild1_eps1q0.25_eps2q0.7_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0_clusters.csv,5.0,2.0,1.0,5.0,0.25,0.7,
gcfl_plus,gcfl_plus,1000005|1000006|1000007|1000008|1000009,1000005|1000006|1000007|1000008|1000009,all,data_3800_4_3.0_chordal_rep03_mask50_cycle2|data_3800_4_3.0_chordal_rep03_mask50_cycle3|data_3800_4_3.0_chordal_rep03_mask50_cycle4|data_3800_4_3.0_chordal_rep03_mask50_cycle5|data_3800_4_3.0_chordal_rep03_mask50_cycle6,5,1.0,andrea/runs/gcflplus1000005|1000006|1000007|1000008|1000009_rounds80_epoch1_warm5_hist5_mcs2_mchild1_eps1q0.25_eps2q0.7_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.csv,andrea/checkpoints/gcflplus1000005|1000006|1000007|1000008|1000009_rounds80_epoch1_warm5_hist5_mcs2_mchild1_eps1q0.25_eps2q0.7_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,0,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64,0.5,0.5,0.5,0.0188723794190836,task_positive_label_masking,,andrea/runs/gcflplus1000005|1000006|1000007|1000008|1000009_rounds80_epoch1_warm5_hist5_mcs2_mchild1_eps1q0.25_eps2q0.7_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0_clusters.csv,5.0,2.0,1.0,5.0,0.25,0.7,
gcfl_plus,gcfl_plus,1000010|1000011|1000012|1000013|1000014,1000010|1000011|1000012|1000013|1000014,all,data_3800_4_3.0_chordal_rep03_mask80_cycle2|data_3800_4_3.0_chordal_rep03_mask80_cycle3|data_3800_4_3.0_chordal_rep03_mask80_cycle4|data_3800_4_3.0_chordal_rep03_mask80_cycle5|data_3800_4_3.0_chordal_rep03_mask80_cycle6,5,1.0,andrea/runs/gcflplus1000010|1000011|1000012|1000013|1000014_rounds80_epoch1_warm5_hist5_mcs2_mchild1_eps1q0.25_eps2q0.7_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.csv,andrea/checkpoints/gcflplus1000010|1000011|1000012|1000013|1000014_rounds80_epoch1_warm5_hist5_mcs2_mchild1_eps1q0.25_eps2q0.7_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,0,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64,0.8,0.8,0.8,0.069303960140568,task_positive_label_masking,,andrea/runs/gcflplus1000010|1000011|1000012|1000013|1000014_rounds80_epoch1_warm5_hist5_mcs2_mchild1_eps1q0.25_eps2q0.7_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed0_clusters.csv,5.0,2.0,1.0,5.0,0.25,0.7,
gcfl_plus,gcfl_plus,1000000|1000001|1000002|1000003|1000004,1000000|1000001|1000002|1000003|1000004,all,data_3800_4_3.0_chordal_rep03_mask20_cycle2|data_3800_4_3.0_chordal_rep03_mask20_cycle3|data_3800_4_3.0_chordal_rep03_mask20_cycle4|data_3800_4_3.0_chordal_rep03_mask20_cycle5|data_3800_4_3.0_chordal_rep03_mask20_cycle6,5,1.0,andrea/runs/gcflplus1000000|1000001|1000002|1000003|1000004_rounds80_epoch1_warm5_hist5_mcs2_mchild1_eps1q0.25_eps2q0.7_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed1.csv,andrea/checkpoints/gcflplus1000000|1000001|1000002|1000003|1000004_rounds80_epoch1_warm5_hist5_mcs2_mchild1_eps1q0.25_eps2q0.7_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed1.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,1,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64,0.2,0.2,0.2,0.002318666379198,task_positive_label_masking,,andrea/runs/gcflplus1000000|1000001|1000002|1000003|1000004_rounds80_epoch1_warm5_hist5_mcs2_mchild1_eps1q0.25_eps2q0.7_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed1_clusters.csv,5.0,2.0,1.0,5.0,0.25,0.7,
gcfl_plus,gcfl_plus,1000005|1000006|1000007|1000008|1000009,1000005|1000006|1000007|1000008|1000009,all,data_3800_4_3.0_chordal_rep03_mask50_cycle2|data_3800_4_3.0_chordal_rep03_mask50_cycle3|data_3800_4_3.0_chordal_rep03_mask50_cycle4|data_3800_4_3.0_chordal_rep03_mask50_cycle5|data_3800_4_3.0_chordal_rep03_mask50_cycle6,5,1.0,andrea/runs/gcflplus1000005|1000006|1000007|1000008|1000009_rounds80_epoch1_warm5_hist5_mcs2_mchild1_eps1q0.25_eps2q0.7_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed1.csv,andrea/checkpoints/gcflplus1000005|1000006|1000007|1000008|1000009_rounds80_epoch1_warm5_hist5_mcs2_mchild1_eps1q0.25_eps2q0.7_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed1.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,1,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64,0.5,0.5,0.5,0.0188723794190836,task_positive_label_masking,,andrea/runs/gcflplus1000005|1000006|1000007|1000008|1000009_rounds80_epoch1_warm5_hist5_mcs2_mchild1_eps1q0.25_eps2q0.7_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed1_clusters.csv,5.0,2.0,1.0,5.0,0.25,0.7,
gcfl_plus,gcfl_plus,1000010|1000011|1000012|1000013|1000014,1000010|1000011|1000012|1000013|1000014,all,data_3800_4_3.0_chordal_rep03_mask80_cycle2|data_3800_4_3.0_chordal_rep03_mask80_cycle3|data_3800_4_3.0_chordal_rep03_mask80_cycle4|data_3800_4_3.0_chordal_rep03_mask80_cycle5|data_3800_4_3.0_chordal_rep03_mask80_cycle6,5,1.0,andrea/runs/gcflplus1000010|1000011|1000012|1000013|1000014_rounds80_epoch1_warm5_hist5_mcs2_mchild1_eps1q0.25_eps2q0.7_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed1.csv,andrea/checkpoints/gcflplus1000010|1000011|1000012|1000013|1000014_rounds80_epoch1_warm5_hist5_mcs2_mchild1_eps1q0.25_eps2q0.7_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed1.pt,80,1,loss,auto,6,0.001,0.0001,0.1,64,True,64,1,mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64,0.8,0.8,0.8,0.069303960140568,task_positive_label_masking,,andrea/runs/gcflplus1000010|1000011|1000012|1000013|1000014_rounds80_epoch1_warm5_hist5_mcs2_mchild1_eps1q0.25_eps2q0.7_mcwauto_layers6_lr0.001_wd0.0001_do0.1_hd64_egoTrue_bs64_seed1_clusters.csv,5.0,2.0,1.0,5.0,0.25,0.7,
